AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-2011,Occupational Therapy Assistants,detailed,490,18.4,0.251,0.82,NA,30.71,63880,2.5,23.69,27.01,30.14,33.87,39.42,49280,56180,62690,70450,81990,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-2012,Occupational Therapy Aides,detailed,**,**,**,**,NA,19.12,39780,10.4,13.84,14.67,16.68,20.58,33.22,28780,30510,34700,42800,69110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-2021,Physical Therapist Assistants,detailed,840,16.7,0.428,0.64,NA,30.98,64430,1.7,25.08,27.59,30.73,34.85,39.34,52170,57390,63910,72500,81820,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-2022,Physical Therapist Aides,detailed,160,19.6,0.08,0.24,NA,16.87,35080,2.4,13.97,15.04,17.09,18.74,19.74,29060,31280,35540,38970,41060,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9011,Massage Therapists,detailed,2610,15.1,1.333,2.18,NA,31.85,66250,4,19.11,23.91,33.3,38.51,42.4,39760,49720,69270,80100,88180,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9091,Dental Assistants,detailed,4740,7,2.426,1.08,NA,23.37,48610,2.9,17.46,20.09,23.3,26.85,30.31,36320,41790,48470,55840,63040,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9092,Medical Assistants,detailed,8700,6.1,4.45,0.87,NA,23.59,49070,1.1,18.45,20.93,23.4,26.23,30.08,38380,43530,48660,54550,62560,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9093,Medical Equipment Preparers,detailed,840,9.5,0.43,1.05,NA,22.79,47400,2.9,16.89,18.76,22.25,25.94,30.59,35130,39020,46280,53950,63620,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9094,Medical Transcriptionists,detailed,720,42.8,0.366,1.03,NA,18.84,39200,8.7,13.94,14.68,16.76,22.44,26.92,29000,30520,34870,46670,55990,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9095,Pharmacy Aides,detailed,800,15.5,0.41,1.47,NA,17.18,35730,2.8,13.8,14.49,15.69,18.65,22.26,28700,30150,32630,38790,46290,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,2090,10.3,1.069,1.5,NA,16.32,33950,2,13.88,14.65,15.94,18.06,19.35,28870,30480,33150,37570,40250,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9097,Phlebotomists,detailed,1380,14.2,0.705,0.77,NA,21.19,44080,1.9,16.41,17.9,20.42,23.96,28.08,34140,37240,42470,49830,58410,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,31-9099,"Healthcare Support Workers, All Other",detailed,1640,9.2,0.837,1.2,NA,24.41,50770,3,16.88,19.08,22.94,28.09,34.76,35110,39680,47720,58440,72290,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,36130,6.1,18.475,0.77,NA,30.33,63080,3.8,15.84,18.52,25.63,40.92,51.15,32940,38510,53310,85110,106400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-1011,First-Line Supervisors of Correctional Officers,detailed,360,7.8,0.184,0.48,NA,41.82,86980,2.9,33.45,34.47,40.51,46.43,54.64,69570,71710,84260,96570,113660,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-1012,First-Line Supervisors of Police and Detectives,detailed,1180,3.1,0.601,0.68,NA,61.01,126910,2.2,47.61,54.27,60.2,66.92,80.38,99020,112890,125220,139200,167180,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,1120,13.4,0.571,1.15,NA,54.78,113940,1.5,42.56,47.46,55.05,62.2,67.98,88520,98710,114500,129380,141390,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",detailed,1070,6.3,0.547,0.96,NA,29.86,62100,2.7,19.06,22.45,28.23,34.77,42.23,39640,46700,58730,72320,87830,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-2011,Firefighters,detailed,3080,14.5,1.577,0.7,NA,41.79,86930,2.1,29.24,35.53,42.96,48.99,53.04,60820,73910,89350,101910,110320,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,33-2021,Fire Inspectors and Investigators,detailed,80,4.4,0.039,0.39,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,,
