AREA,AREA_NAME,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,220,14.8,0.112,0.28,NA,NA,23.83,49570,5.2,15.98,18.33,23.22,28.42,31.44,33230,38130,48290,59110,65400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,200,10.2,0.103,1.03,NA,NA,23.54,48970,1.6,14.76,18.33,22.66,28.86,32.49,30700,38130,47130,60020,67580,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,7620,2.6,3.973,1.02,NA,NA,31.86,66260,1.1,18.18,22.95,29.52,38.11,48.44,37800,47740,61410,79280,100750,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,1450,33.2,0.757,4.38,NA,NA,24.57,51100,0.6,20.57,20.57,22.71,26.02,34.75,42780,42780,47240,54130,72280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9081,Dental Laboratory Technicians,detailed,490,18.5,0.256,1.05,NA,NA,26.16,54420,2.5,18.11,22.03,26.04,29.49,36.23,37680,45820,54150,61340,75350,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9082,Medical Appliance Technicians,detailed,150,33.8,0.079,0.73,NA,NA,22.46,46710,7,17.82,17.95,21.77,23.94,29.2,37070,37330,45280,49790,60740,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,2930,5.5,1.528,0.6,NA,NA,19.13,39800,1.9,14.46,16.45,18.18,20.82,24.79,30070,34210,37800,43300,51560,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9123,"Painting, Coating, and Decorating Workers",detailed,100,42.7,0.053,0.63,NA,NA,20.68,43010,8,14.29,16.23,20.16,22.38,30.9,29710,33750,41940,46550,64280,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,2290,9.2,1.196,1.16,NA,NA,28.27,58790,3.6,17.57,18.55,23.25,36.28,48.44,36540,38580,48360,75460,100750,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,50,34.2,0.027,0.66,NA,NA,23.38,48630,14.3,15.95,15.95,21.02,28.31,30,33180,33180,43710,58880,62400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9161,Computer Numerically Controlled Tool Operators,detailed,960,5.2,0.5,0.45,NA,NA,33.67,70030,1.6,19.45,23.79,30.35,49.13,49.13,40450,49480,63120,102190,102190,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9162,Computer Numerically Controlled Tool Programmers,detailed,560,6.1,0.292,1.59,NA,NA,44.67,92910,1.1,29.13,37.03,39.3,49.75,63.57,60590,77020,81750,103490,132230,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9194,Etchers and Engravers,detailed,110,30.1,0.056,1.1,NA,NA,22.43,46650,5.9,16.32,18.1,20.29,25.78,29.31,33940,37660,42190,53620,60960,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,650,11.5,0.338,1.24,NA,NA,22.42,46630,2.2,18.33,18.78,22.38,23.22,28.9,38130,39050,46550,48290,60110,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,460,5.7,0.242,0.39,NA,NA,24.51,50980,2.1,18.23,18.29,22.94,29.12,36.57,37920,38050,47710,60570,76070,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9198,Helpers--Production Workers,detailed,990,10.1,0.514,0.36,NA,NA,19.69,40940,1.5,14.66,17.5,18.19,21.99,25.04,30490,36410,37840,45750,52090,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,51-9199,"Production Workers, All Other",detailed,840,37.7,0.44,0.3,NA,NA,20.46,42550,5.5,14.39,17.64,17.66,19.07,28.37,29930,36690,36730,39660,59010,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,154920,1.8,80.788,0.9,NA,NA,25.5,53050,0.6,14.78,17.76,21.77,28.74,37.31,30750,36950,45270,59770,77610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-1041,Aircraft Cargo Handling Supervisors,detailed,50,17.4,0.027,0.44,NA,NA,35,72800,1.1,23.88,23.9,30.64,39.12,50.2,49660,49700,63730,81370,104410,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,9040,5,4.713,1.21,NA,NA,32.86,68360,0.9,22.35,23.87,30.24,38.71,47.41,46490,49650,62900,80510,98610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,3140,2.5,1.638,2.84,NA,NA,*,224860,0.5,*,*,*,*,*,106020,135270,#,#,#,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-2012,Commercial Pilots,detailed,910,24.6,0.476,1.57,NA,NA,*,103640,11.3,*,*,*,*,*,56090,61210,72020,112050,205420,True,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-2021,Air Traffic Controllers,detailed,490,0.5,0.254,1.69,NA,NA,69.46,144470,0.5,42.93,60.97,71.23,80.75,91.54,89290,126820,148160,167960,190400,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-2022,Airfield Operations Specialists,detailed,110,2.9,0.06,0.67,NA,NA,38.09,79230,0.6,26.32,30.9,36.82,39.38,50.22,54750,64260,76580,81910,104450,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,4900,16.3,2.556,0.75,NA,NA,18.55,38590,4.2,14.27,14.57,14.59,22.83,25.78,29680,30300,30350,47480,53610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,17600,2.1,9.176,0.68,NA,NA,28.86,60020,1.3,20.99,23.45,28.65,33.69,37.88,43660,48780,59590,70080,78790,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,13950,3.1,7.274,1.01,NA,NA,22.7,47210,0.9,15.44,18.05,22.24,25.78,30.9,32120,37540,46270,53620,64260,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3051,"Bus Drivers, School",detailed,3880,3.9,2.021,0.79,NA,NA,25.81,53680,2.4,20.49,22.82,28.49,29.61,30.11,42610,47470,59250,61580,62640,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3052,"Bus Drivers, Transit and Intercity",detailed,5510,3.9,2.871,2.78,NA,NA,31.34,65190,0.9,23.92,29.42,29.82,37.31,37.31,49760,61190,62030,77610,77610,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3053,Shuttle Drivers and Chauffeurs,detailed,1860,15.4,0.971,0.78,NA,NA,19.21,39970,2.3,14.91,17.21,17.85,22,23.16,31010,35800,37130,45760,48170,,
42660,"Seattle-Tacoma-Bellevue, WA",4,WA,0,Cross-industry,cross-industry,1235,53-3099,"Motor Vehicle Operators, All Other",detailed,700,19.6,0.363,1.05,NA,NA,18.32,38100,2.9,14.2,14.59,16.22,19.88,27.57,29530,30350,33750,41350,57350,,
