PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-4199,"Information and Record Clerks, All Other",detailed,1880,10.1,1.142,1.01,20.13,41860,2.4,14.68,16.99,19.91,23.24,26.06,30540,35340,41410,48340,54190,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5011,Cargo and Freight Agents,detailed,1150,16.8,0.695,1.1,25.96,53990,3.7,17.29,20.41,24.9,29.49,39.65,35970,42450,51780,61330,82480,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5021,Couriers and Messengers,detailed,670,32.7,0.405,0.75,17.3,35970,2.7,14.8,15.8,17.21,18.61,21.64,30790,32860,35790,38710,45010,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5031,"Police, Fire, and Ambulance Dispatchers",detailed,640,11.4,0.386,0.58,29.37,61100,2.9,21.11,25.02,29.37,34.65,38.62,43910,52030,61080,72070,80330,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,2150,9.1,1.302,0.94,25.39,52820,3.4,14.54,17.9,23.68,31.59,38.7,30240,37230,49260,65710,80500,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5041,"Meter Readers, Utilities",detailed,120,11.5,0.071,0.3,26.49,55090,4.7,21.11,22.73,25.35,29.69,33.99,43910,47270,52720,61750,70710,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5051,Postal Service Clerks,detailed,590,0,0.359,0.62,24.34,50620,2.8,16.63,19.47,28.15,28.16,28.74,34580,40500,58560,58570,59790,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5052,Postal Service Mail Carriers,detailed,2950,0,1.791,0.76,24.22,50380,2.6,16.07,17.7,28.4,28.78,28.96,33420,36810,59070,59850,60230,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,1470,0,0.892,1.14,24.88,51750,3.6,16.5,19.93,27.53,28.16,28.16,34320,41460,57260,58560,58570,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5061,"Production, Planning, and Expediting Clerks",detailed,8200,14.8,4.977,2.11,23.28,48430,4,15.2,17.22,21.42,28.91,36.29,31610,35810,44550,60130,75490,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5071,"Shipping, Receiving, and Traffic Clerks",detailed,6550,6.9,3.976,0.84,18.46,38390,1.4,12.95,14.95,17.48,21.13,24.8,26930,31090,36350,43950,51580,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5081,Stock Clerks and Order Fillers,detailed,16020,6,9.725,0.68,17.45,36290,1.6,11.76,13.02,16.29,21.14,24.45,24460,27080,33870,43960,50870,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,680,29.7,0.414,0.81,18.52,38510,2.5,12.59,15.11,18.67,21.81,23.91,26190,31430,38820,45370,49720,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,5720,3.3,3.474,0.83,30.39,63220,1.5,21.1,25,29.83,35.57,39.52,43890,52000,62040,73990,82190,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-6012,Legal Secretaries,detailed,1610,14.4,0.979,0.75,29.01,60350,3,18.72,23.13,28.92,35.25,39.21,38950,48100,60150,73310,81550,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-6013,Medical Secretaries,detailed,3930,10.8,2.386,0.59,21.22,44130,1.7,15.74,17.54,20.81,24.33,28.5,32730,36490,43290,50610,59270,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,14890,4,9.038,0.57,21.37,44460,0.9,14.42,17.08,21.09,25.68,29.51,30000,35520,43860,53420,61380,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9011,Computer Operators,detailed,280,18.8,0.17,0.6,24.33,50600,5.4,15.32,19.19,24.38,29.16,34.26,31870,39920,50710,60650,71270,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9021,Data Entry Keyers,detailed,1520,18.1,0.921,0.73,19.04,39600,2.9,13.38,15.26,17.93,21.79,25.79,27820,31730,37300,45330,53640,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9022,Word Processors and Typists,detailed,280,43.5,0.169,0.37,27.17,56520,2.8,16.63,20.39,25.17,32.64,42.96,34600,42400,52360,67890,89360,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9031,Desktop Publishers,detailed,110,36.8,0.067,0.79,22.04,45840,17.5,11.27,11.66,24.74,29.73,35.35,23440,24250,51460,61830,73520,,
